iter	Logloss
0	0.6852153669
1	0.6769801985
2	0.665821882
3	0.656826913
4	0.6504876709
5	0.6425860596
6	0.6349698312
7	0.628265904
8	0.6213321359
9	0.6137273298
10	0.6057398769
11	0.5991637312
12	0.5903409249
13	0.5820359584
14	0.5750835746
15	0.5676067243
16	0.5592751639
17	0.5540500314
18	0.5479889788
19	0.5424834333
20	0.5369846889
21	0.5308587646
22	0.5253561837
23	0.519639195
24	0.5143010603
25	0.5090865653
26	0.5039066424
27	0.4987700108
28	0.4938864572
29	0.4891566685
30	0.484611424
31	0.4803693499
32	0.4766391863
33	0.4731878662
34	0.4690611049
35	0.4653819057
36	0.4614033726
37	0.4577655029
38	0.4545363072
39	0.450322004
40	0.4459284319
41	0.4403895787
42	0.436879752
43	0.4333986119
44	0.4298020717
45	0.4251729039
46	0.4220941162
47	0.4188658796
48	0.4158666556
49	0.4124330357
50	0.4097855486
51	0.4065273612
52	0.4036801583
53	0.4010140119
54	0.3979770333
55	0.3950726318
56	0.3926487514
57	0.389692906
58	0.3872259957
59	0.384903826
60	0.3827926636
61	0.3806217739
62	0.3781086513
63	0.3748089164
64	0.3727852086
65	0.3699233137
66	0.3674596296
67	0.3640613883
68	0.3622680446
69	0.3588461522
70	0.3567825099
71	0.3546934509
72	0.3513196673
73	0.3489610291
74	0.3469523839
75	0.3443187169
76	0.3425335475
77	0.3405689784
78	0.3387147304
79	0.3372636632
80	0.3356423514
81	0.3332339042
82	0.3308378601
83	0.3286237008
84	0.3267088972
85	0.3251909746
86	0.3227252633
87	0.3204495893
88	0.3189443752
89	0.3171264648
90	0.3155345808
91	0.3138943481
92	0.3120456369
93	0.3108003017
94	0.3089203099
95	0.3075133405
96	0.3052523804
97	0.3040748814
98	0.3023524039
99	0.3010032
100	0.2995088196
101	0.298313991
102	0.2969759696
103	0.2956343079
104	0.292917742
105	0.2916712952
106	0.2906292725
107	0.2896073696
108	0.288530644
109	0.2873006766
110	0.2861443438
111	0.2841537912
112	0.283130624
113	0.2819974409
114	0.2810538592
115	0.2798468454
116	0.2787354824
117	0.2777930123
118	0.2768555777
119	0.2748791504
120	0.2731456212
121	0.2721431187
122	0.2708295768
123	0.2699986921
124	0.2692016602
125	0.2682465036
126	0.2673219517
127	0.2659921265
128	0.2650938634
129	0.2642546953
130	0.2635115051
131	0.2622138541
132	0.261302403
133	0.2605052621
134	0.2597546605
135	0.2586780439
136	0.2572520665
137	0.2560743495
138	0.255173863
139	0.2543832179
140	0.2535689218
141	0.2523833357
142	0.2513409424
143	0.2505838013
144	0.2493324934
145	0.2478677804
146	0.2472180176
147	0.2457756042
148	0.2449804252
149	0.244195949
150	0.2430851528
151	0.2419146293
152	0.2410634722
153	0.2403196934
154	0.239675293
155	0.2387736729
156	0.2381733922
157	0.2373182896
158	0.2363810076
159	0.235853969
160	0.2350924029
161	0.2341154262
162	0.2333086722
163	0.2326110622
164	0.232160383
165	0.2314697702
166	0.2306841605
167	0.2302286857
168	0.2293547712
169	0.2279195731
170	0.2265321568
171	0.2259738159
172	0.2250110299
173	0.22450143
174	0.2239124843
175	0.2235619681
176	0.2228191267
177	0.2219809396
178	0.2212001038
179	0.2208637565
180	0.2194622367
181	0.2188400705
182	0.2174290684
183	0.2168559701
184	0.2158446394
185	0.2152962167
186	0.2148197719
187	0.2144263131
188	0.2139014108
189	0.2132362148
190	0.2124775914
191	0.2119066947
192	0.2108561707
193	0.2102643476
194	0.2098924473
195	0.2093608747
196	0.208104357
197	0.207545493
198	0.2072307478
199	0.2066833278
200	0.2063062831
201	0.20552451
202	0.2050365557
203	0.2047667149
204	0.2044042097
205	0.2040358843
206	0.2035629708
207	0.2032673427
208	0.2030179487
209	0.2022074236
210	0.2018586077
211	0.2015341187
212	0.2007312012
213	0.2003834752
214	0.1995761326
215	0.1990171814
216	0.1986207581
217	0.1981792995
218	0.1973986816
219	0.1965417045
220	0.1963257926
221	0.1961484419
222	0.1959426226
223	0.1949188232
224	0.1940939549
225	0.1935568019
226	0.1930796596
227	0.1927415466
228	0.1919477408
229	0.1914813886
230	0.1911483547
231	0.190601981
232	0.1901808602
233	0.1898021153
234	0.1892270987
235	0.1888090297
236	0.1885021319
237	0.1882539368
238	0.1878419277
239	0.1875462777
240	0.1869021606
241	0.1864794268
