iter	Passed	Remaining
0	157	157041
1	159	79808
2	163	54348
3	167	41643
4	170	33901
5	173	28663
6	175	24899
7	179	22262
8	182	20140
9	185	18353
10	187	16882
11	190	15669
12	194	14794
13	197	13925
14	200	13138
15	202	12444
16	204	11836
17	207	11340
18	211	10910
19	214	10496
20	216	10093
21	218	9726
22	221	9389
23	240	9783
24	243	9490
25	245	9205
26	248	8945
27	250	8699
28	253	8485
29	257	8320
30	259	8121
31	262	7931
32	264	7749
33	266	7578
34	270	7457
35	273	7333
36	276	7189
37	278	7051
38	281	6926
39	283	6813
40	288	6744
41	290	6637
42	293	6530
43	295	6425
44	298	6333
45	302	6265
46	305	6185
47	307	6097
48	310	6022
49	313	5952
50	316	5883
51	319	5822
52	322	5753
53	324	5687
54	327	5628
55	330	5565
56	334	5528
57	337	5479
58	339	5418
59	342	5371
60	345	5317
61	349	5281
62	351	5234
63	354	5181
64	357	5135
65	359	5089
66	362	5041
67	365	5014
68	368	4974
69	371	4935
70	373	4892
71	376	4849
72	378	4806
73	382	4786
74	385	4751
75	388	4725
76	391	4691
77	393	4654
78	397	4635
79	401	4612
80	403	4579
81	406	4548
82	408	4515
83	412	4492
84	415	4475
85	419	4454
86	422	4428
87	424	4401
88	428	4381
89	446	4515
90	450	4499
91	453	4475
92	455	4446
93	458	4416
94	464	4422
95	467	4405
96	471	4385
97	473	4358
98	478	4355
99	481	4334
100	484	4315
101	487	4291
102	490	4267
103	494	4256
104	498	4245
105	501	4226
106	503	4201
107	506	4182
108	511	4180
109	514	4163
110	517	4143
111	520	4126
112	523	4108
113	528	4108
114	531	4088
115	533	4066
116	536	4049
117	539	4029
118	543	4023
119	546	4004
120	548	3985
121	550	3965
122	553	3944
123	557	3935
124	559	3916
125	561	3896
126	564	3881
127	567	3864
128	569	3845
129	573	3840
130	576	3824
131	579	3810
132	582	3797
133	585	3783
134	589	3775
135	591	3759
136	595	3748
137	597	3732
138	599	3715
139	602	3698
140	606	3693
141	609	3681
142	611	3666
143	614	3650
144	616	3634
145	618	3620
146	622	3611
147	625	3598
148	627	3583
149	629	3568
150	632	3554
151	634	3541
152	638	3536
153	641	3524
154	644	3511
155	646	3498
156	648	3484
157	653	3482
158	656	3470
159	658	3456
160	660	3443
161	663	3429
162	665	3416
163	669	3412
164	672	3401
165	674	3390
166	677	3377
167	679	3364
168	681	3352
169	685	3348
170	688	3338
171	690	3326
172	693	3314
173	695	3301
174	699	3298
175	702	3290
176	705	3280
177	707	3269
178	710	3257
179	712	3248
180	717	3246
181	720	3236
182	722	3226
183	724	3214
184	727	3205
185	730	3198
186	734	3191
187	736	3181
188	738	3170
189	741	3159
190	744	3151
191	748	3149
192	751	3141
193	753	3131
194	756	3121
195	758	3112
196	761	3103
197	765	3100
198	767	3090
199	770	3080
200	772	3070
201	775	3062
202	778	3055
203	781	3048
204	783	3039
205	786	3029
206	789	3023
207	792	3016
208	796	3014
209	798	3005
210	801	2998
211	805	2992
212	807	2984
213	811	2979
214	814	2972
215	816	2963
216	819	2956
217	821	2948
218	824	2939
219	828	2937
220	830	2928
221	833	2922
222	836	2913
223	838	2905
224	841	2896
225	845	2896
226	848	2889
227	850	2881
228	853	2872
229	855	2863
230	858	2859
231	861	2852
232	864	2845
233	866	2837
234	869	2829
235	871	2820
236	874	2814
237	877	2808
238	880	2802
239	882	2795
240	885	2787
241	887	2779
242	891	2776
243	894	2770
244	896	2762
245	899	2755
246	901	2749
247	904	2742
248	908	2741
249	911	2733
250	913	2726
251	916	2719
252	918	2712
253	923	2711
254	926	2707
255	929	2701
256	932	2696
257	935	2689
258	940	2691
259	943	2686
260	946	2680
261	949	2673
262	952	2668
263	956	2666
264	959	2660
265	961	2653
266	964	2647
267	966	2640
268	970	2637
269	973	2632
270	976	2626
271	979	2621
272	982	2615
273	986	2614
274	990	2611
275	994	2608
276	998	2605
277	1003	2606
278	1007	2602
279	1010	2597
280	1013	2594
281	1017	2590
282	1020	2586
283	1023	2581
284	1026	2574
285	1028	2568
286	1030	2561
287	1035	2559
288	1037	2553
289	1040	2547
290	1043	2543
291	1046	2536
292	1049	2532
293	1052	2528
294	1055	2522
295	1057	2515
296	1060	2509
297	1062	2502
298	1065	2497
299	1068	2492
300	1071	2487
301	1073	2481
302	1076	2475
303	1078	2469
304	1082	2467
305	1085	2461
306	1087	2455
307	1090	2449
308	1092	2442
309	1094	2436
310	1098	2433
311	1101	2428
312	1104	2423
313	1106	2417
314	1108	2411
315	1111	2404
316	1115	2402
317	1117	2397
318	1120	2391
319	1122	2385
320	1124	2379
321	1127	2373
322	1131	2371
323	1134	2366
324	1136	2361
325	1139	2355
326	1141	2349
327	1145	2346
328	1149	2345
329	1152	2340
330	1155	2335
331	1158	2330
332	1163	2329
333	1165	2324
334	1168	2319
335	1170	2313
336	1173	2307
337	1176	2303
338	1179	2300
339	1182	2294
340	1184	2289
341	1186	2283
342	1189	2277
343	1193	2275
344	1196	2271
345	1198	2266
346	1201	2260
347	1203	2255
348	1206	2250
349	1210	2247
350	1213	2243
351	1215	2237
352	1217	2231
353	1220	2226
354	1223	2222
355	1226	2219
356	1229	2214
357	1231	2209
358	1234	2204
359	1236	2199
360	1239	2194
361	1243	2191
362	1245	2186
363	1248	2180
364	1251	2177
365	1254	2172
366	1258	2171
367	1261	2166
368	1263	2161
369	1266	2156
370	1268	2150
371	1271	2145
372	1274	2142
373	1276	2137
374	1279	2131
375	1282	2127
376	1284	2122
377	1287	2117
378	1290	2114
379	1293	2111
380	1296	2106
381	1299	2101
382	1301	2096
383	1305	2093
384	1307	2088
385	1310	2084
386	1313	2080
387	1315	2075
388	1319	2072
389	1322	2068
390	1324	2063
391	1327	2058
392	1329	2053
393	1331	2048
394	1334	2043
395	1338	2041
396	1341	2036
397	1343	2032
398	1346	2027
399	1348	2022
400	1352	2019
401	1354	2015
402	1357	2011
403	1360	2006
404	1362	2001
405	1364	1996
406	1368	1993
407	1371	1989
408	1374	1985
409	1376	1981
410	1379	1976
411	1381	1972
412	1386	1970
413	1389	1966
414	1391	1961
415	1393	1956
416	1396	1951
417	1398	1947
418	1402	1944
419	1405	1940
420	1407	1935
421	1409	1930
422	1411	1925
423	1415	1922
424	1418	1919
425	1420	1914
426	1423	1909
427	1425	1905
428	1427	1900
429	1430	1896
430	1435	1894
431	1437	1890
432	1440	1885
433	1442	1881
434	1444	1876
435	1448	1874
436	1451	1870
437	1453	1865
438	1456	1861
439	1458	1856
440	1460	1851
441	1465	1849
442	1468	1846
443	1471	1842
444	1474	1838
445	1477	1835
446	1481	1833
447	1497	1844
448	1506	1848
449	1510	1846
450	1514	1843
451	1517	1839
452	1520	1836
453	1523	1831
454	1526	1827
455	1529	1824
456	1531	1819
457	1533	1815
458	1536	1810
459	1538	1806
460	1542	1803
461	1545	1799
462	1547	1794
463	1549	1790
464	1552	1786
465	1555	1782
466	1559	1779
467	1562	1776
468	1564	1771
469	1568	1768
470	1570	1764
471	1574	1760
472	1576	1756
473	1579	1752
474	1582	1749
475	1586	1745
476	1589	1742
477	1592	1739
478	1595	1735
479	1598	1731
480	1600	1726
481	1602	1722
482	1606	1719
483	1609	1715
484	1611	1711
485	1614	1707
486	1616	1702
487	1618	1698
488	1622	1695
489	1625	1692
490	1628	1687
491	1630	1683
492	1633	1679
493	1635	1675
494	1639	1672
495	1642	1669
496	1645	1664
497	1647	1660
498	1649	1656
499	1651	1651
500	1656	1649
501	1658	1645
502	1660	1640
503	1662	1636
504	1665	1632
505	1667	1627
506	1672	1626
507	1675	1622
508	1677	1618
509	1679	1613
510	1682	1609
511	1686	1606
512	1689	1603
513	1691	1599
514	1694	1595
515	1696	1591
516	1698	1586
517	1702	1584
518	1705	1580
519	1707	1576
520	1710	1572
521	1712	1568
522	1714	1564
523	1718	1561
524	1721	1557
525	1724	1553
526	1726	1549
527	1728	1545
528	1731	1541
529	1735	1539
530	1737	1535
531	1740	1530
532	1742	1526
533	1745	1522
534	1747	1519
535	1751	1516
536	1754	1512
537	1756	1508
538	1758	1504
539	1761	1500
540	1765	1497
541	1768	1494
542	1771	1490
543	1773	1486
544	1776	1483
545	1778	1479
546	1782	1476
547	1785	1472
548	1787	1468
549	1789	1464
550	1792	1460
551	1795	1457
552	1799	1454
553	1801	1450
554	1803	1446
555	1806	1442
556	1809	1438
557	1812	1435
558	1814	1431
559	1817	1427
560	1819	1423
561	1822	1420
562	1824	1416
563	1827	1412
564	1830	1409
565	1833	1405
566	1835	1401
567	1837	1397
568	1840	1393
569	1842	1390
570	1845	1386
571	1848	1383
572	1851	1379
573	1853	1375
574	1855	1371
575	1858	1367
576	1862	1365
577	1865	1362
578	1868	1358
579	1870	1354
580	1872	1350
581	1876	1347
582	1879	1344
583	1882	1340
584	1884	1336
585	1886	1332
586	1889	1329
587	1892	1326
588	1895	1322
589	1898	1319
590	1900	1315
591	1902	1311
592	1905	1307
593	1909	1305
594	1912	1301
595	1914	1297
596	1916	1293
597	1919	1290
598	1921	1286
599	1926	1284
600	1928	1280
601	1931	1276
602	1933	1273
603	1935	1269
604	1939	1266
605	1942	1262
606	1944	1259
607	1946	1255
608	1949	1251
609	1951	1247
610	1955	1244
611	1959	1242
612	1961	1238
613	1964	1234
614	1966	1231
615	1969	1227
616	1973	1225
617	1976	1221
618	1978	1217
619	1981	1214
620	1983	1210
621	1986	1207
622	1990	1204
623	1992	1200
624	1995	1197
625	1997	1193
626	2000	1190
627	2002	1186
628	2005	1182
629	2007	1179
630	2011	1176
631	2014	1172
632	2016	1169
633	2019	1165
634	2021	1162
635	2024	1158
636	2027	1155
637	2030	1152
638	2032	1148
639	2035	1145
640	2038	1141
641	2041	1138
642	2044	1135
643	2046	1131
644	2049	1128
645	2052	1124
646	2054	1121
647	2059	1118
648	2061	1115
649	2064	1111
650	2066	1107
651	2069	1104
652	2071	1100
653	2075	1098
654	2078	1094
655	2081	1091
656	2083	1087
657	2086	1084
658	2089	1081
659	2092	1077
660	2094	1074
661	2097	1071
662	2100	1067
663	2103	1064
664	2106	1061
665	2109	1058
666	2112	1054
667	2114	1050
668	2116	1047
669	2119	1043
670	2123	1041
671	2126	1037
672	2128	1034
673	2130	1030
674	2133	1027
675	2135	1023
676	2157	1029
677	2159	1025
678	2162	1022
679	2164	1018
680	2166	1015
681	2170	1012
682	2173	1008
683	2175	1005
684	2178	1001
685	2180	997
686	2182	994
687	2185	991
688	2188	987
689	2191	984
690	2193	980
691	2195	977
692	2197	973
693	2201	970
694	2204	967
695	2207	964
696	2209	960
697	2211	956
698	2213	953
699	2217	950
700	2220	947
701	2223	943
702	2227	940
703	2230	937
704	2234	935
705	2237	931
706	2239	928
707	2241	924
708	2244	921
709	2246	917
710	2250	914
711	2253	911
712	2256	908
713	2258	904
714	2260	901
715	2263	897
716	2267	895
717	2270	891
718	2272	888
719	2275	884
720	2277	881
721	2280	878
722	2284	875
723	2286	871
724	2288	868
725	2291	864
726	2294	861
727	2297	858
728	2300	855
729	2302	851
730	2305	848
731	2307	844
732	2310	841
733	2313	838
734	2316	835
735	2318	831
736	2320	828
737	2323	824
738	2326	821
739	2329	818
740	2332	815
741	2334	811
742	2337	808
743	2340	805
744	2342	801
745	2346	799
746	2349	795
747	2351	792
748	2354	789
749	2357	785
750	2360	782
751	2363	779
752	2365	776
753	2368	772
754	2370	769
755	2373	765
756	2375	762
757	2378	759
758	2381	756
759	2384	752
760	2387	749
761	2389	746
762	2392	743
763	2395	739
764	2398	736
765	2401	733
766	2403	730
767	2406	726
768	2410	724
769	2413	720
770	2415	717
771	2418	714
772	2420	710
773	2422	707
774	2426	704
775	2429	701
776	2431	697
777	2434	694
778	2436	691
779	2439	687
780	2442	684
781	2444	681
782	2447	678
783	2449	674
784	2451	671
785	2454	668
786	2458	665
787	2461	662
788	2463	658
789	2466	655
790	2468	652
791	2470	648
792	2475	646
793	2477	642
794	2480	639
795	2482	636
796	2484	632
797	2488	629
798	2491	626
799	2493	623
800	2495	620
801	2498	616
802	2500	613
803	2505	610
804	2507	607
805	2509	604
806	2512	600
807	2514	597
